Hidden Layers,Neurons per Layer,Accuracy
1,4,0.8341463414634146
1,8,0.7804878048780488
1,16,0.824390243902439
1,32,0.8585365853658536
1,64,0.8439024390243902
2,4,0.848780487804878
2,8,0.8195121951219512
2,16,0.848780487804878
2,32,0.848780487804878
2,64,0.8780487804878049
3,4,0.8390243902439024
3,8,0.8439024390243902
3,16,0.8731707317073171
3,32,0.8975609756097561
3,64,0.9512195121951219
